nationality,gender,age,salary
Paiute,Male,51,1277
Cheyenne,Female,16,2159
Ecuadorian,Female,55,293
Pima,Female,37,2195
American Indian and Alaska Native (AIAN),Male,46,2633
Taiwanese,Male,29,418
Japanese,Bigender,18,933
Panamanian,Female,38,334
Ute,Female,30,1905
Japanese,Male,41,1255
Cuban,Female,45,1048
Alaskan Athabascan,Male,18,1258
Crow,Female,41,799
Comanche,Female,19,116
Spaniard,Male,43,539
Cambodian,Female,16,2002
Houma,Female,41,2711
Iroquois,Male,18,1670
American Indian,Female,27,2583
Hmong,Male,46,2256
Choctaw,Female,16,371
Sri Lankan,Female,25,1045
Cuban,Male,47,3221
American Indian and Alaska Native (AIAN),Female,42,456
